Source,Type,Target,Weight
БлокАА,Directed,ФетАА,27
БлокАА,Directed,СоловьевВС,16
БлокАА,Directed,ЖуковскийВА ,11
БлокАА,Directed,БатюшковКН,1
БлокАА,Directed,ДельвигАА,2
БлокАА,Directed,ЯзыковНМ,1
БлокАА,Directed,ТургеневИС,1
БлокАА,Directed,ТолстойАК,1
БлокАА,Directed,ТютчевФИ,7
БлокАА,Directed,ГиппиусАВ,2
БлокАА,Directed,ГиппиусЗН,3
БлокАА,Directed,НекрасовНА,3
БлокАА,Directed,МережковскийДС,6
БлокАА,Directed,ГетеИ,3
БлокАА,Directed,ГейнеГ,2
БлокАА,Directed,ШекспирУ,3
БлокАА,Directed,БодлерШ,1
БлокАА,Directed,Софокл,1
БлокАА,Directed,Гомер,1
БлокАА,Directed,Овидий,2
БлокАА,Directed,Еврипид,1
БлокАА,Directed,Софокл,1
БлокАА,Directed,Платон,5
БлокАА,Directed,Данте,2
АхматоваАА,Directed,ГумилевНС,40
АхматоваАА,Directed,АнненскийИФ,25
АхматоваАА,Directed,БлокАА,21
АхматоваАА,Directed,ПушкинАС,21
АхматоваАА,Directed,МандельштамОЭ,15
АхматоваАА,Directed,ПунинНН,10
АхматоваАА,Directed,ПастернакБЛ,9
АхматоваАА,Directed,ЦветаеваМИ,7
АхматоваАА,Directed,ТютчевФИ,6
АхматоваАА,Directed,АнрепБВ,6
АхматоваАА,Directed,ШекспирУ,5
АхматоваАА,Directed,ГетеИВ,4
АхматоваАА,Directed,МаяковскийВВ,4
АхматоваАА,Directed,ЛермонтовМЮ,3
АхматоваАА,Directed,ГиппиусЗН,3
АхматоваАА,Directed,Данте,3
АхматоваАА,Directed,НайманАГ,3
АхматоваАА,Directed,БрюсовВЯ,2
АхматоваАА,Directed,СологубФК,2
АхматоваАА,Directed,КузминМА,2
АхматоваАА,Directed,БлейкУ,2
АхматоваАА,Directed,ГаршинВГ,2
АхматоваАА,Directed,НервальЖ,2
АхматоваАА,Directed,Северянин,1
АхматоваАА,Directed,ОстровскийАН,1
АхматоваАА,Directed,АпухтинАН,1
АхматоваАА,Directed,КомаровскийВА,1
АхматоваАА,Directed,БальмонтКД,1
АхматоваАА,Directed,БаратынскийЕА,1
АхматоваАА,Directed,ЖуковскийВА,1
АхматоваАА,Directed,ХодасевичВФ,1
АхматоваАА,Directed,ГогольНВ,1
АхматоваАА,Directed,ЧуковскаяЛК,1
АхматоваАА,Directed,БестужевАА,1
АхматоваАА,Directed,РылеевКФ,1
АхматоваАА,Directed,ХлебниковВ,1
АхматоваАА,Directed,ЗаболоцкийНА,1
АхматоваАА,Directed,ИвановВИ,1
